District Name ,Place ,Fatalities,Latitude ,Longitude,Reason
Thane/Manor,Kude to Sativali,46,19.407,72.8658,Chowk Zig Zag Road
Thane/Ghoti,Old kasara Ghat,46,19.67,73.48,S Curve and Steep Slope
Satara/Karad,Malkapur,40,20.8922472,73.48,Steep Slope
Pune/Khandala,Waksai,36,18.76555556,73.45444444,Narrow Road
Jalgaon/Paldhi,Serve Town Chowk,36,21.01,76.37111111,Road Junction
Jalgaon/Paldhi,Wadjai Nala,32,18.42722222,73.98111111,Narrow Bridge
Thane/Manor,Saykhed Hawali,32,21.14666667,76.71361111,Sharp Curve
Pune/Wadgaon,Wadgaon Fata,27,20.59366,78.96331,Sharp Curve& Narrow
Satara/Karad,Kashil,26,17.5476,74.03735,Road
Thane/Shahapur,Kalambe,26,19.047352,73.955086,Steep Slope
Thane/Charoti,Amboli,22,15.9625,73.99778,Sharp Curve& Steep
Raigad/Mahad,Sukeli Phata,22,19.946922,73.765434,Slope
Satara/Karad,Masur Fata,21,17.398364,74.166172,Road Crossing Junction
Osmanabad/Naldurga,Naldurga Ghat,19,17.8166677,76.2739795,Steep Slope and Curve
Jalgaon/Paldhi,Eklagna Gaon,18,19.237091,75.426369,Chowk on Sharp Curve
Jalgaon/Paldhi,Avtar Dhaba,18,20.99935,75.45025,"Narrow Bridge , Steep"
Thane/Shahapur,Umbarmali,17,17.753119,73.1880548,Slope and Curve
Pune/Wadgaon,Kamshet,17,18.81465,73.54035,Narrow Bridge
Thane/Charoti,Warwada,15,18.2266307,76.3695167,Narrow Bridge
Pune/Vadgaon,Center Chowk(Dehu Road),15,18.7485,73.76725,Railway Over Bridge
Nagpur/Ramtek,Vadoda,13,22.310696,73.192635,Sharp Curve and Chowk
Osmanabad/Naldurga,Malup Shivar,12,20.64125,77.02775,Chowk
Kolhapur/Ujalaiwadi,Topgaon to Kasar Wadi,11,18.6060963,73.8227827,Narrow Junction &
Raigad/Palaspe,Jeetegaon,10,20.560797,74.52507,Chowk
Buldhana/Malkapur,Dasarkhed,9,20.889759,76.203742,‘T’ Junction
Dhule,Katsar Village,0,19.075178,75.431778,Sharp Curve Narrow
NANDED,Muslmanwadi Pati,5,17.026506,74.374344,Bridge
Amravati Rural,Nagzari Fata,4,17.15303,74.15335,‘T’ Junction and Steep
Solapur Rural,Kanergaon Pati Solapur to Pune,0,17.65992,75.906387,Slope
Dhule,Near Purmepada Village,0,20.9042291,74.7748889,Sharp Curve
Bhandara,Shahapur,2,19.450001,73.330002,Sharp Curve
Satara,Near Anewadi Valsure Pul,3,17.78995,73.98765,
Amaravati City,"Gori In Hotel ""T"" Point",1,20.937424,77.779549,
Dhule,"Gori In Hotel ""T"" Point",0,20.903118,74.774986,
Sangli,Near D mart pandharpur Road Miraj,0,16.85722222,74.65861111,