Place ,Latitude ,Longitude
Kude to Sativali,19.407,72.8658
Old kasara Ghat,19.67,73.48
Malkapur,20.8922472,73.48
Waksai,18.76555556,73.45444444
Serve Town Chowk,21.01,76.37111111
Wadjai Nala,18.42722222,73.98111111
Saykhed Hawali,21.14666667,76.71361111
Wadgaon Fata,20.59366,78.96331
Kashil,17.5476,74.03735
Kalambe,19.047352,73.955086
Amboli,15.9625,73.99778
Sukeli Phata,19.946922,73.765434
Masur Fata,17.398364,74.166172
Naldurga Ghat,17.8166677,76.2739795
Eklagna Gaon,19.237091,75.426369
Avtar Dhaba,20.99935,75.45025
Umbarmali,17.753119,73.1880548
Kamshet,18.81465,73.54035
Warwada,18.2266307,76.3695167
Center Chowk(Dehu Road),18.7485,73.76725
Vadoda,22.310696,73.192635
Malup Shivar,20.64125,77.02775
Topgaon to Kasar Wadi,18.6060963,73.8227827
Jeetegaon,20.560797,74.52507
Dasarkhed,20.889759,76.203742
Katsar Village,19.075178,75.431778
Muslmanwadi Pati,17.026506,74.374344
Nagzari Fata,17.15303,74.15335
Kanergaon Pati Solapur to Pune,17.65992,75.906387
Near Purmepada Village,20.9042291,74.7748889
Shahapur,19.450001,73.330002
Near Anewadi Valsure Pul,17.78995,73.98765
"Gori In Hotel ""T"" Point",20.937424,77.779549
"Gori In Hotel ""T"" Point",20.903118,74.774986
Near D mart pandharpur Road Miraj,16.85722222,74.65861111