Place ,District Name ,Reasons
Kude to Sativali,Thane/Manor,Vehicle Speeding 
Old kasara Ghat,Thane/Ghoti,Vehicle Speeding 
Malkapur,Satara/Karad,Vehicle Speeding 
Waksai,Pune/Khandala,Critical Turn
Serve Town Chowk,Jalgaon/Paldhi,Low lights 
Wadjai Nala,Jalgaon/Paldhi,Critical Turn
Saykhed Hawali,Thane/Manor,Low lights 
Wadgaon Fata,Pune/Wadgaon,Vehicle Speeding 
Kashil,Satara/Karad,Bumpy Roads 
Kalambe,Thane/Shahapur,Critical Turn
Amboli,Thane/Charoti,Bumpy Roads 
Sukeli Phata,Raigad/Mahad,Drunk and Driving 
Masur Fata,Satara/Karad,Vehicle Speeding 
Naldurga Ghat,Osmanabad/Naldurga,Vehicle Speeding 
Eklagna Gaon,Jalgaon/Paldhi,Bumpy Roads 
Avtar Dhaba,Jalgaon/Paldhi,Vehicle Speeding 
Umbarmali,Thane/Shahapur,Slippery Roads 
Kamshet,Pune/Wadgaon,Slippery Roads 
Warwada,Thane/Charoti,Critical Turn
Center Chowk(Dehu Road),Pune/Vadgaon,Slippery Roads 
Vadoda,Nagpur/Ramtek,Bumpy Roads 
Malup Shivar,Osmanabad/Naldurga,Bumpy Roads 
Topgaon to Kasar Wadi,Kolhapur/Ujalaiwadi,Vehicle Speeding 
Jeetegaon,Raigad/Palaspe,Vehicle Speeding 
Dasarkhed,Buldhana/Malkapur,Vehicle Speeding 
Katsar Village,Dhule,Bumpy Roads 
Muslmanwadi Pati,NANDED,Vehicle Speeding 
Nagzari Fata,Amravati Rural,Vehicle Speeding 
Kanergaon Pati Solapur to Pune,Solapur Rural,Low lights 
Near Purmepada Village,Dhule,Critical Turn
Shahapur,Bhandara,Vehicle Speeding 
Near Anewadi Valsure Pul,Satara,Vehicle Speeding 
"Gori In Hotel ""T"" Point",Amaravati City,Critical Turn
"Gori In Hotel ""T"" Point",Dhule,Vehicle Speeding 
Near D mart pandharpur Road Miraj,Sangli,Bumpy Roads 