States/UTs,Black Spot Accidents
Andhra Pradesh,6.85
Arunachal Pradesh,11.4
Chandigarh,5.14
Goa,1.826
Gujarat,6.023
Haryana,1.24
Himachal Pradesh,9.96
Manipur,2.73
Meghalaya,-
Madhya Pradesh,1.48
Nagaland,15
Punjab,11.5
Rajasthan,6.4
Tamil Nadu,8.8
Uttarakhand,10
West Bengal,13.33
Bihar,1.8
Delhi,15.34
Karnataka,6.862
Jammu and Kashmir,5.475
Maharashtra,0.089
Telangana,8.53
Tripura,6.019
Jharkhand,2.18
Chhattisgarh,2.545
Mizoram,9.375
Kerala,6.8
Assam,5.49
Odisha,6.06
Uttar Pradesh,6.85
Sikkim,18.032